guessed_model,strategy_list,count
claude,formality & tone,3574
claude,output style & structure,3310
claude,sentence structure & complexity,2587
claude,style-based utterance metrics,1844
claude,lexical diversity & vocabulary,1248
claude,tf-idf,995
claude,punctuation & formatting,925
claude,emergent model characteristics,920
claude,grammar & typographical accuracy,225
claude,none,0
claude,translation performance & style,0
deepseek,style-based utterance metrics,769
deepseek,output style & structure,673
deepseek,sentence structure & complexity,552
deepseek,lexical diversity & vocabulary,274
deepseek,formality & tone,169
deepseek,tf-idf,149
deepseek,emergent model characteristics,52
deepseek,punctuation & formatting,11
deepseek,none,1
deepseek,grammar & typographical accuracy,1
deepseek,translation performance & style,0
gemini,output style & structure,2398
gemini,style-based utterance metrics,2306
gemini,formality & tone,2140
gemini,sentence structure & complexity,1553
gemini,tf-idf,1213
gemini,lexical diversity & vocabulary,665
gemini,emergent model characteristics,567
gemini,punctuation & formatting,220
gemini,grammar & typographical accuracy,62
gemini,none,0
gemini,translation performance & style,0
gpt,output style & structure,7914
gpt,sentence structure & complexity,7597
gpt,lexical diversity & vocabulary,6748
gpt,style-based utterance metrics,4501
gpt,formality & tone,4401
gpt,emergent model characteristics,2000
gpt,punctuation & formatting,1782
gpt,grammar & typographical accuracy,1447
gpt,tf-idf,1208
gpt,none,6
gpt,translation performance & style,0
llama,output style & structure,393
llama,emergent model characteristics,341
llama,sentence structure & complexity,337
llama,lexical diversity & vocabulary,311
llama,formality & tone,232
llama,style-based utterance metrics,134
llama,grammar & typographical accuracy,51
llama,tf-idf,33
llama,punctuation & formatting,7
llama,translation performance & style,0
llama,none,0
mistral,output style & structure,239
mistral,style-based utterance metrics,177
mistral,emergent model characteristics,157
mistral,lexical diversity & vocabulary,146
mistral,sentence structure & complexity,141
mistral,formality & tone,87
mistral,tf-idf,82
mistral,grammar & typographical accuracy,1
mistral,punctuation & formatting,1
mistral,translation performance & style,0
mistral,none,0
qwen,style-based utterance metrics,1474
qwen,output style & structure,1361
qwen,sentence structure & complexity,555
qwen,lexical diversity & vocabulary,513
qwen,tf-idf,512
qwen,formality & tone,384
qwen,emergent model characteristics,343
qwen,punctuation & formatting,18
qwen,grammar & typographical accuracy,2
qwen,none,1
qwen,translation performance & style,1
