,guessed_model,strategy_list,count
6,claude,formality & tone,3572
10,claude,output style & structure,3310
12,claude,sentence structure & complexity,2587
13,claude,style-based utterance metrics,1823
9,claude,lexical diversity & vocabulary,1248
14,claude,tf-idf,995
11,claude,punctuation & formatting,925
3,claude,emergent model characteristics,920
7,claude,grammar & typographical accuracy,225
1,claude,bullet point usage,13
8,claude,heading usage,5
0,claude,bullet point and heading usage,2
5,claude,formalities & tone,2
2,claude,bullet point usage & heading usage,1
4,claude,failed to parse,1
24,deepseek,style-based utterance metrics,768
21,deepseek,output style & structure,673
23,deepseek,sentence structure & complexity,552
20,deepseek,lexical diversity & vocabulary,274
18,deepseek,formality & tone,169
25,deepseek,tf-idf,149
17,deepseek,emergent model characteristics,52
22,deepseek,punctuation & formatting,11
15,deepseek,bullet point usage,1
16,deepseek,content depth,1
19,deepseek,grammar & typographical accuracy,1
40,gemini,output style & structure,2398
45,gemini,style-based utterance metrics,2271
33,gemini,formality & tone,2137
43,gemini,sentence structure & complexity,1545
47,gemini,tf-idf,1213
39,gemini,lexical diversity & vocabulary,665
30,gemini,emergent model characteristics,567
41,gemini,punctuation & formatting,220
34,gemini,grammar & typographical accuracy,62
26,gemini,bullet point usage,13
36,gemini,heading usage),10
46,gemini,style-based utterance metrics (sentence length,10
48,gemini,tone & formality,3
27,gemini,clarity and articulation,1
28,gemini,contextual understanding,1
29,gemini,conversational flow & context retention,1
31,gemini,engagement and enthusiasm,1
32,gemini,excellent turn-taking and conversational flow,1
35,gemini,heading usage,1
37,gemini,humor and whimsy,1
38,gemini,integration of user input,1
42,gemini,sentence length,1
44,gemini,strong creative and narrative abilities,1
67,gpt,output style & structure,7914
69,gpt,sentence structure & complexity,7596
66,gpt,lexical diversity & vocabulary,6747
70,gpt,style-based utterance metrics,4472
60,gpt,formality & tone,4395
57,gpt,emergent model characteristics,2000
68,gpt,punctuation & formatting,1782
61,gpt,grammar & typographical accuracy,1447
72,gpt,tf-idf,1208
49,gpt,bullet point and heading usage,11
50,gpt,bullet point usage,8
74,gpt,use of bullet points and headings,4
59,gpt,formalities & tone,3
52,gpt,content and themes,2
58,gpt,formal & tone,2
64,gpt,heading usage),2
71,gpt,style-based utterance metrics (sentence length,2
51,gpt,content and depth,1
53,gpt,conversational flow,1
54,gpt,conversational style & nuance,1
55,gpt,creativity & engagement,1
56,gpt,depth of understanding and questioning,1
62,gpt,heading and bullet point usage,1
63,gpt,heading usage,1
65,gpt,lack of 'hallucinations' or inconsistencies,1
73,gpt,tone,1
80,llama,output style & structure,393
75,llama,emergent model characteristics,341
82,llama,sentence structure & complexity,337
79,llama,lexical diversity & vocabulary,311
77,llama,formality & tone,231
83,llama,style-based utterance metrics,134
78,llama,grammar & typographical accuracy,51
84,llama,tf-idf,33
81,llama,punctuation & formatting,7
76,llama,formalities & tone,1
92,mistral,output style & structure,239
95,mistral,style-based utterance metrics,173
86,mistral,emergent model characteristics,157
91,mistral,lexical diversity & vocabulary,146
94,mistral,sentence structure & complexity,141
88,mistral,formality & tone,86
96,mistral,tf-idf,82
85,mistral,bullet point usage,3
87,mistral,formal & tone,1
89,mistral,grammar & typographical accuracy,1
90,mistral,heading usage,1
93,mistral,punctuation & formatting,1
106,qwen,style-based utterance metrics,1473
103,qwen,output style & structure,1361
105,qwen,sentence structure & complexity,555
101,qwen,lexical diversity & vocabulary,513
107,qwen,tf-idf,512
99,qwen,formality & tone,384
98,qwen,emergent model characteristics,343
104,qwen,punctuation & formatting,18
100,qwen,grammar & typographical accuracy,2
97,qwen,bullet point and heading usage,1
102,qwen,none,1
108,qwen,translation performance & style,1
