Run #1: claude vs claude -> Game: ultimatumgame with SPV: v2 and GPV: v1, cold
Run #1: claude vs claude -> Game: ultimatumgame with SPV: v2 and GPV: v2, cold
Run #1: claude vs claude -> Game: ultimatumgame with SPV: v2 and GPV: v3, cold
Run #2: claude vs claude -> Game: ultimatumgame with SPV: v2 and GPV: v1, cold
Run #2: claude vs claude -> Game: ultimatumgame with SPV: v2 and GPV: v2, cold
Run #2: claude vs claude -> Game: ultimatumgame with SPV: v2 and GPV: v3, cold
Run #3: claude vs claude -> Game: ultimatumgame with SPV: v2 and GPV: v1, cold
Run #3: claude vs claude -> Game: ultimatumgame with SPV: v2 and GPV: v2, cold
Run #3: claude vs claude -> Game: ultimatumgame with SPV: v2 and GPV: v3, cold
Run #4: claude vs claude -> Game: ultimatumgame with SPV: v2 and GPV: v1, cold
Run #4: claude vs claude -> Game: ultimatumgame with SPV: v2 and GPV: v2, cold
Run #4: claude vs claude -> Game: ultimatumgame with SPV: v2 and GPV: v3, cold
Run #5: claude vs claude -> Game: ultimatumgame with SPV: v2 and GPV: v1, cold
Run #5: claude vs claude -> Game: ultimatumgame with SPV: v2 and GPV: v2, cold
Run #5: claude vs claude -> Game: ultimatumgame with SPV: v2 and GPV: v3, cold
Run #6: claude vs claude -> Game: ultimatumgame with SPV: v2 and GPV: v1, cold
Run #6: claude vs claude -> Game: ultimatumgame with SPV: v2 and GPV: v2, cold
Run #6: claude vs claude -> Game: ultimatumgame with SPV: v2 and GPV: v3, cold
Run #7: claude vs claude -> Game: ultimatumgame with SPV: v2 and GPV: v1, cold
Run #7: claude vs claude -> Game: ultimatumgame with SPV: v2 and GPV: v2, cold
Run #7: claude vs claude -> Game: ultimatumgame with SPV: v2 and GPV: v3, cold
Run #8: claude vs claude -> Game: ultimatumgame with SPV: v2 and GPV: v1, cold
Run #8: claude vs claude -> Game: ultimatumgame with SPV: v2 and GPV: v2, cold
Run #8: claude vs claude -> Game: ultimatumgame with SPV: v2 and GPV: v3, cold
Run #9: claude vs claude -> Game: ultimatumgame with SPV: v2 and GPV: v1, cold
Run #9: claude vs claude -> Game: ultimatumgame with SPV: v2 and GPV: v2, cold
Run #9: claude vs claude -> Game: ultimatumgame with SPV: v2 and GPV: v3, cold
Run #10: claude vs claude -> Game: ultimatumgame with SPV: v2 and GPV: v1, cold
Run #10: claude vs claude -> Game: ultimatumgame with SPV: v2 and GPV: v2, cold
Run #10: claude vs claude -> Game: ultimatumgame with SPV: v2 and GPV: v3, cold
